product_id,category,style,color,price,discount_%,final_price,rating,reviews,brand,image_url,product_link
P033,formal trousers,smart-casual,white,2485,30,1739,4.2,480,Biba,https://via.placeholder.com/150,https://www.amazon.in/s?k=formal+trousers
P034,jacket,partywear,black,1351,20,1080,4.4,391,Nike,https://images.unsplash.com/photo-1544966503-7cc5ac882d5b,https://www.amazon.in/s?k=jacket
P035,hooded jacket,ethnic,green,3860,20,3088,3.9,164,H&M,https://via.placeholder.com/150,https://www.amazon.in/s?k=hooded+jacket
P036,windcheater,partywear,navy,1768,20,1414,4.6,73,Puma,https://via.placeholder.com/150,https://www.amazon.in/s?k=windcheater
P037,windcheater,streetwear,grey,4390,20,3512,4.7,132,Zara,https://via.placeholder.com/150,https://www.amazon.in/s?k=windcheater
P038,jacket,streetwear,brown,1717,30,1201,4.3,63,Biba,https://images.unsplash.com/photo-1544966503-7cc5ac882d5b,https://www.amazon.in/s?k=jacket
P039,dress,winterwear,blue,3647,10,3282,3.9,248,Puma,https://images.unsplash.com/photo-1496747611176-843222e1e57c,https://www.amazon.in/s?k=dress
P040,hoodie,winterwear,brown,4482,25,3361,4.6,443,Zara,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf,https://www.amazon.in/s?k=hoodie
P041,saree,ethnic,black,1859,25,1394,3.9,334,Forever21,https://via.placeholder.com/150,https://www.amazon.in/s?k=saree
P042,shirt,casual,navy,2167,25,1625,4.1,104,Van Heusen,https://images.unsplash.com/photo-1603252109303-2751441dd157,https://www.amazon.in/s?k=shirt
P043,lehenga,streetwear,red,4794,15,4074,4.0,153,Adidas,https://via.placeholder.com/150,https://www.amazon.in/s?k=lehenga
P044,kurti,streetwear,black,3661,30,2562,4.2,254,Puma,https://via.placeholder.com/150,https://www.amazon.in/s?k=kurti
P045,palazzo,streetwear,beige,2024,15,1720,4.9,74,Allen Solly,https://via.placeholder.com/150,https://www.amazon.in/s?k=palazzo
P046,chinos,business,beige,2095,15,1780,4.4,214,Raymond,https://via.placeholder.com/150,https://www.amazon.in/s?k=chinos
P047,windcheater,partywear,green,1719,15,1461,4.4,87,Forever21,https://via.placeholder.com/150,https://www.amazon.in/s?k=windcheater
P048,lehenga,formal,beige,841,25,630,4.9,310,Levis,https://via.placeholder.com/150,https://www.amazon.in/s?k=lehenga
P049,shorts,business,brown,1939,20,1551,4.6,324,H&M,https://via.placeholder.com/150,https://www.amazon.in/s?k=shorts
P050,chinos,casual,grey,2057,10,1851,4.4,417,Adidas,https://via.placeholder.com/150,https://www.amazon.in/s?k=chinos
P051,lehenga,smart-casual,beige,4739,25,3554,3.9,484,H&M,https://via.placeholder.com/150,https://www.amazon.in/s?k=lehenga
P052,chinos,loungewear,brown,4349,15,3696,4.0,309,Forever21,https://via.placeholder.com/150,https://www.amazon.in/s?k=chinos
P053,palazzo,ethnic,white,4411,25,3308,4.4,107,Allen Solly,https://via.placeholder.com/150,https://www.amazon.in/s?k=palazzo
P054,joggers,sportswear,red,2000,30,1400,4.2,391,Raymond,https://via.placeholder.com/150,https://www.amazon.in/s?k=joggers
P055,jeans,streetwear,pink,3378,10,3040,4.3,88,Nike,https://images.unsplash.com/photo-1582552938357-32b906df40cb,https://www.amazon.in/s?k=jeans
P056,lehenga,loungewear,green,3883,25,2912,4.3,396,Forever21,https://via.placeholder.com/150,https://www.amazon.in/s?k=lehenga
P057,blazer,casual,brown,4521,10,4068,4.4,396,Adidas,https://images.unsplash.com/photo-1593032465175-481ac7f401a0,https://www.amazon.in/s?k=blazer
P058,saree,formal,brown,1563,20,1250,4.3,89,Raymond,https://via.placeholder.com/150,https://www.amazon.in/s?k=saree
P059,joggers,business,blue,1300,25,975,4.3,383,Adidas,https://via.placeholder.com/150,https://www.amazon.in/s?k=joggers
P060,windcheater,ethnic,black,4919,15,4181,4.7,58,Adidas,https://via.placeholder.com/150,https://www.amazon.in/s?k=windcheater
P061,tank top,streetwear,navy,1426,20,1140,4.0,327,Zara,https://via.placeholder.com/150,https://www.amazon.in/s?k=tank+top
P062,t-shirt,streetwear,black,4100,10,3690,4.0,193,Zara,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,https://www.amazon.in/s?k=t-shirt
P063,hoodie,partywear,pink,2474,15,2102,4.4,149,Adidas,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf,https://www.amazon.in/s?k=hoodie
P064,party shirt,partywear,pink,815,10,733,4.8,203,Puma,https://via.placeholder.com/150,https://www.amazon.in/s?k=party+shirt
P065,windcheater,business,navy,3461,25,2595,4.3,304,Puma,https://via.placeholder.com/150,https://www.amazon.in/s?k=windcheater
P066,suit set,partywear,beige,3096,30,2167,4.0,476,Biba,https://via.placeholder.com/150,https://www.amazon.in/s?k=suit+set
P067,windcheater,smart-casual,pink,3682,20,2945,4.3,107,Puma,https://via.placeholder.com/150,https://www.amazon.in/s?k=windcheater
P068,crop top,formal,grey,3541,25,2655,4.9,286,Puma,https://via.placeholder.com/150,https://www.amazon.in/s?k=crop+top
P069,sports t-shirt,winterwear,blue,2562,25,1921,4.5,282,Levis,https://via.placeholder.com/150,https://www.amazon.in/s?k=sports+t-shirt
P070,jacket,smart-casual,brown,4837,25,3627,4.4,339,Levis,https://images.unsplash.com/photo-1544966503-7cc5ac882d5b,https://www.amazon.in/s?k=jacket
P071,crop top,winterwear,red,2346,20,1876,4.4,219,Puma,https://via.placeholder.com/150,https://www.amazon.in/s?k=crop+top
P072,jacket,business,blue,3471,20,2776,3.9,171,Puma,https://images.unsplash.com/photo-1544966503-7cc5ac882d5b,https://www.amazon.in/s?k=jacket
P073,blazer,business,grey,701,15,595,4.2,387,Raymond,https://images.unsplash.com/photo-1593032465175-481ac7f401a0,https://www.amazon.in/s?k=blazer
P074,dress,ethnic,beige,1080,25,810,4.1,305,FabIndia,https://images.unsplash.com/photo-1496747611176-843222e1e57c,https://www.amazon.in/s?k=dress
P075,hooded jacket,partywear,red,1666,20,1332,4.3,161,Adidas,https://via.placeholder.com/150,https://www.amazon.in/s?k=hooded+jacket
P076,nightwear,ethnic,white,4012,15,3410,4.5,368,Adidas,https://via.placeholder.com/150,https://www.amazon.in/s?k=nightwear
P077,suit set,streetwear,blue,2285,20,1828,4.7,314,Allen Solly,https://via.placeholder.com/150,https://www.amazon.in/s?k=suit+set
P078,blazer,ethnic,pink,2335,15,1984,4.1,263,Adidas,https://images.unsplash.com/photo-1593032465175-481ac7f401a0,https://www.amazon.in/s?k=blazer
P079,coat,smart-casual,navy,3053,15,2595,4.4,125,Nike,https://via.placeholder.com/150,https://www.amazon.in/s?k=coat
P080,sports t-shirt,ethnic,white,1139,15,968,4.2,218,Levis,https://via.placeholder.com/150,https://www.amazon.in/s?k=sports+t-shirt
P081,jacket,smart-casual,black,3996,25,2997,4.9,411,Levis,https://images.unsplash.com/photo-1544966503-7cc5ac882d5b,https://www.amazon.in/s?k=jacket
P082,maxi dress,streetwear,black,4225,25,3168,4.1,63,Van Heusen,https://via.placeholder.com/150,https://www.amazon.in/s?k=maxi+dress
P083,polo t-shirt,loungewear,blue,1003,30,702,3.9,234,H&M,https://via.placeholder.com/150,https://www.amazon.in/s?k=polo+t-shirt
P084,blazer dress,loungewear,grey,2618,30,1832,4.4,242,Levis,https://via.placeholder.com/150,https://www.amazon.in/s?k=blazer+dress
P085,crop top,formal,beige,3606,20,2884,4.3,402,Allen Solly,https://via.placeholder.com/150,https://www.amazon.in/s?k=crop+top
P086,sports t-shirt,casual,green,3219,30,2253,4.1,365,Nike,https://via.placeholder.com/150,https://www.amazon.in/s?k=sports+t-shirt
P087,blazer,partywear,navy,1631,15,1386,4.4,59,Biba,https://images.unsplash.com/photo-1593032465175-481ac7f401a0,https://www.amazon.in/s?k=blazer
P088,chinos,smart-casual,red,3833,15,3258,4.8,100,Forever21,https://via.placeholder.com/150,https://www.amazon.in/s?k=chinos
P089,crop top,streetwear,grey,2270,20,1816,3.9,317,Puma,https://via.placeholder.com/150,https://www.amazon.in/s?k=crop+top
P090,polo t-shirt,sportswear,grey,4749,20,3799,4.7,346,Van Heusen,https://via.placeholder.com/150,https://www.amazon.in/s?k=polo+t-shirt
P091,polo t-shirt,business,brown,3047,25,2285,4.1,324,Levis,https://via.placeholder.com/150,https://www.amazon.in/s?k=polo+t-shirt
P092,sports t-shirt,smart-casual,pink,1949,30,1364,4.8,159,FabIndia,https://via.placeholder.com/150,https://www.amazon.in/s?k=sports+t-shirt
P093,blazer,partywear,beige,2541,25,1905,4.0,181,Nike,https://images.unsplash.com/photo-1593032465175-481ac7f401a0,https://www.amazon.in/s?k=blazer
P094,shirt,smart-casual,pink,2395,10,2155,4.2,109,Raymond,https://images.unsplash.com/photo-1603252109303-2751441dd157,https://www.amazon.in/s?k=shirt
P095,lehenga,smart-casual,green,2873,30,2011,4.2,488,Zara,https://via.placeholder.com/150,https://www.amazon.in/s?k=lehenga
P096,palazzo,casual,navy,4663,30,3264,4.2,308,Nike,https://via.placeholder.com/150,https://www.amazon.in/s?k=palazzo
P097,blazer,streetwear,red,4274,30,2991,4.3,222,Raymond,https://images.unsplash.com/photo-1593032465175-481ac7f401a0,https://www.amazon.in/s?k=blazer
P098,blazer,casual,red,950,10,855,4.0,426,Nike,https://images.unsplash.com/photo-1593032465175-481ac7f401a0,https://www.amazon.in/s?k=blazer
P099,chinos,ethnic,beige,2552,20,2041,4.9,369,FabIndia,https://via.placeholder.com/150,https://www.amazon.in/s?k=chinos
P100,shirt,sportswear,blue,2184,30,1528,4.4,465,Levis,https://images.unsplash.com/photo-1603252109303-2751441dd157,https://www.amazon.in/s?k=shirt
P101,shorts,winterwear,beige,4726,25,3544,4.7,65,Adidas,https://via.placeholder.com/150,https://www.amazon.in/s?k=shorts
P102,blazer dress,formal,black,1754,15,1490,4.5,183,Van Heusen,https://via.placeholder.com/150,https://www.amazon.in/s?k=blazer+dress
P103,coat,smart-casual,beige,2863,20,2290,4.6,120,H&M,https://via.placeholder.com/150,https://www.amazon.in/s?k=coat
P104,party shirt,winterwear,white,2690,10,2421,4.4,384,Biba,https://via.placeholder.com/150,https://www.amazon.in/s?k=party+shirt
P105,sports t-shirt,ethnic,brown,3719,20,2975,4.0,99,Levis,https://via.placeholder.com/150,https://www.amazon.in/s?k=sports+t-shirt
P106,joggers,winterwear,navy,3586,30,2510,4.5,406,Adidas,https://via.placeholder.com/150,https://www.amazon.in/s?k=joggers
P107,shirt,business,navy,1091,20,872,4.8,137,Biba,https://images.unsplash.com/photo-1603252109303-2751441dd157,https://www.amazon.in/s?k=shirt
P108,dress,casual,navy,4346,25,3259,4.1,358,Nike,https://images.unsplash.com/photo-1496747611176-843222e1e57c,https://www.amazon.in/s?k=dress
P109,kurti,loungewear,pink,2247,30,1572,4.5,338,Biba,https://via.placeholder.com/150,https://www.amazon.in/s?k=kurti
P110,kurta,smart-casual,brown,4108,15,3491,4.8,250,Zara,https://via.placeholder.com/150,https://www.amazon.in/s?k=kurta
P111,blazer,business,black,3568,15,3032,4.0,336,FabIndia,https://images.unsplash.com/photo-1593032465175-481ac7f401a0,https://www.amazon.in/s?k=blazer
P112,denim jacket,partywear,beige,2758,20,2206,4.3,139,Forever21,https://via.placeholder.com/150,https://www.amazon.in/s?k=denim+jacket
P113,shirt,winterwear,navy,4999,30,3499,4.7,68,Adidas,https://images.unsplash.com/photo-1603252109303-2751441dd157,https://www.amazon.in/s?k=shirt
P114,kurta,business,beige,4230,10,3807,3.9,179,H&M,https://via.placeholder.com/150,https://www.amazon.in/s?k=kurta
P115,crop top,business,blue,800,25,600,4.7,75,Adidas,https://via.placeholder.com/150,https://www.amazon.in/s?k=crop+top
P116,nightwear,sportswear,brown,1757,10,1581,4.8,271,Raymond,https://via.placeholder.com/150,https://www.amazon.in/s?k=nightwear
P117,jacket,casual,grey,1789,25,1341,3.8,243,Zara,https://images.unsplash.com/photo-1544966503-7cc5ac882d5b,https://www.amazon.in/s?k=jacket
P118,blazer,ethnic,black,3251,15,2763,4.7,250,Biba,https://images.unsplash.com/photo-1593032465175-481ac7f401a0,https://www.amazon.in/s?k=blazer
P119,suit set,partywear,black,2336,15,1985,4.1,291,Zara,https://via.placeholder.com/150,https://www.amazon.in/s?k=suit+set
P120,coat,partywear,red,2233,25,1674,4.5,316,H&M,https://via.placeholder.com/150,https://www.amazon.in/s?k=coat
P121,party shirt,formal,white,1729,25,1296,4.8,355,Adidas,https://via.placeholder.com/150,https://www.amazon.in/s?k=party+shirt
P122,sports t-shirt,winterwear,beige,4432,30,3102,4.1,382,H&M,https://via.placeholder.com/150,https://www.amazon.in/s?k=sports+t-shirt
P123,sports t-shirt,business,grey,4673,25,3504,4.3,329,Biba,https://via.placeholder.com/150,https://www.amazon.in/s?k=sports+t-shirt
P124,hooded jacket,streetwear,red,4318,20,3454,3.9,295,Zara,https://via.placeholder.com/150,https://www.amazon.in/s?k=hooded+jacket
P125,saree,casual,beige,2627,25,1970,3.9,92,Levis,https://via.placeholder.com/150,https://www.amazon.in/s?k=saree
P126,denim jacket,ethnic,black,2022,10,1819,4.9,387,Forever21,https://via.placeholder.com/150,https://www.amazon.in/s?k=denim+jacket
P127,cargo pants,streetwear,black,1975,25,1481,4.9,201,Adidas,https://via.placeholder.com/150,https://www.amazon.in/s?k=cargo+pants
P128,saree,streetwear,grey,2373,30,1661,4.8,441,Biba,https://via.placeholder.com/150,https://www.amazon.in/s?k=saree
P129,cargo pants,streetwear,black,3888,25,2916,4.1,86,Raymond,https://via.placeholder.com/150,https://www.amazon.in/s?k=cargo+pants
P130,dress,streetwear,green,2976,15,2529,4.5,396,Nike,https://images.unsplash.com/photo-1496747611176-843222e1e57c,https://www.amazon.in/s?k=dress
P131,party shirt,casual,pink,2718,30,1902,4.5,341,H&M,https://via.placeholder.com/150,https://www.amazon.in/s?k=party+shirt
P132,blazer dress,streetwear,green,2883,20,2306,4.2,452,Zara,https://via.placeholder.com/150,https://www.amazon.in/s?k=blazer+dress
P133,sports t-shirt,casual,white,3007,10,2706,4.4,338,Allen Solly,https://via.placeholder.com/150,https://www.amazon.in/s?k=sports+t-shirt
P134,shirt,ethnic,beige,3711,25,2783,4.8,228,Biba,https://images.unsplash.com/photo-1603252109303-2751441dd157,https://www.amazon.in/s?k=shirt
P135,joggers,smart-casual,green,1718,15,1460,4.5,286,FabIndia,https://via.placeholder.com/150,https://www.amazon.in/s?k=joggers
P136,maxi dress,smart-casual,pink,4042,20,3233,4.1,296,Zara,https://via.placeholder.com/150,https://www.amazon.in/s?k=maxi+dress
P137,lehenga,ethnic,navy,3011,20,2408,4.4,297,Van Heusen,https://via.placeholder.com/150,https://www.amazon.in/s?k=lehenga
P138,chinos,ethnic,beige,1808,20,1446,4.3,207,Zara,https://via.placeholder.com/150,https://www.amazon.in/s?k=chinos
P139,palazzo,smart-casual,beige,1502,10,1351,4.6,83,Puma,https://via.placeholder.com/150,https://www.amazon.in/s?k=palazzo
P140,kurti,loungewear,red,2582,15,2194,4.4,294,Adidas,https://via.placeholder.com/150,https://www.amazon.in/s?k=kurti
P141,shorts,casual,navy,1609,10,1448,4.3,255,Forever21,https://via.placeholder.com/150,https://www.amazon.in/s?k=shorts
P142,crop top,partywear,grey,2803,30,1962,3.8,191,Allen Solly,https://via.placeholder.com/150,https://www.amazon.in/s?k=crop+top
P143,crop top,partywear,grey,3136,30,2195,4.4,261,Raymond,https://via.placeholder.com/150,https://www.amazon.in/s?k=crop+top
P144,joggers,sportswear,white,3699,10,3329,4.4,319,Allen Solly,https://via.placeholder.com/150,https://www.amazon.in/s?k=joggers
P145,saree,winterwear,white,4939,30,3457,4.0,197,Puma,https://via.placeholder.com/150,https://www.amazon.in/s?k=saree
P146,tank top,ethnic,beige,1867,25,1400,4.1,314,Adidas,https://via.placeholder.com/150,https://www.amazon.in/s?k=tank+top
P147,joggers,winterwear,white,1429,25,1071,3.9,491,Zara,https://via.placeholder.com/150,https://www.amazon.in/s?k=joggers
P148,blazer,ethnic,navy,3074,30,2151,4.9,157,Biba,https://images.unsplash.com/photo-1593032465175-481ac7f401a0,https://www.amazon.in/s?k=blazer
P149,windcheater,smart-casual,grey,3657,10,3291,4.7,333,H&M,https://via.placeholder.com/150,https://www.amazon.in/s?k=windcheater
P150,kurta,ethnic,beige,3776,15,3209,3.9,362,Puma,https://via.placeholder.com/150,https://www.amazon.in/s?k=kurta
P151,kurta,partywear,white,4324,25,3243,4.1,404,Puma,https://via.placeholder.com/150,https://www.amazon.in/s?k=kurta
P152,maxi dress,ethnic,red,1515,30,1060,4.8,144,Van Heusen,https://via.placeholder.com/150,https://www.amazon.in/s?k=maxi+dress
P153,lehenga,smart-casual,blue,4674,25,3505,4.4,394,Raymond,https://via.placeholder.com/150,https://www.amazon.in/s?k=lehenga
P154,lehenga,winterwear,brown,1313,20,1050,4.1,239,FabIndia,https://via.placeholder.com/150,https://www.amazon.in/s?k=lehenga
P155,kurti,streetwear,black,4808,15,4086,4.5,215,Biba,https://via.placeholder.com/150,https://www.amazon.in/s?k=kurti
P156,athleisure set,ethnic,red,4162,20,3329,4.7,339,Nike,https://via.placeholder.com/150,https://www.amazon.in/s?k=athleisure+set
P157,joggers,partywear,pink,1654,20,1323,4.5,138,Adidas,https://via.placeholder.com/150,https://www.amazon.in/s?k=joggers
P158,cargo pants,casual,brown,1717,20,1373,4.6,155,Raymond,https://via.placeholder.com/150,https://www.amazon.in/s?k=cargo+pants
P159,windcheater,streetwear,red,4425,25,3318,4.3,475,Van Heusen,https://via.placeholder.com/150,https://www.amazon.in/s?k=windcheater
P160,skirt,business,beige,2301,25,1725,3.8,412,Raymond,https://via.placeholder.com/150,https://www.amazon.in/s?k=skirt
P161,kurta,formal,blue,3705,25,2778,4.4,209,Raymond,https://via.placeholder.com/150,https://www.amazon.in/s?k=kurta
P162,windcheater,casual,black,2992,20,2393,3.8,344,Forever21,https://via.placeholder.com/150,https://www.amazon.in/s?k=windcheater
P163,dress,loungewear,pink,725,30,507,3.9,440,Forever21,https://images.unsplash.com/photo-1496747611176-843222e1e57c,https://www.amazon.in/s?k=dress
P164,joggers,streetwear,red,3907,10,3516,4.3,372,Biba,https://via.placeholder.com/150,https://www.amazon.in/s?k=joggers
P165,party shirt,ethnic,pink,3907,20,3125,4.4,352,Puma,https://via.placeholder.com/150,https://www.amazon.in/s?k=party+shirt
P166,windcheater,ethnic,pink,4526,30,3168,4.4,129,Van Heusen,https://via.placeholder.com/150,https://www.amazon.in/s?k=windcheater
P167,t-shirt,sportswear,beige,3317,25,2487,4.0,122,Nike,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,https://www.amazon.in/s?k=t-shirt
P168,sweater,formal,white,1218,30,852,4.2,214,Zara,https://via.placeholder.com/150,https://www.amazon.in/s?k=sweater
P169,athleisure set,loungewear,green,3579,15,3042,4.0,56,H&M,https://via.placeholder.com/150,https://www.amazon.in/s?k=athleisure+set
P170,windcheater,business,brown,2065,15,1755,4.1,221,H&M,https://via.placeholder.com/150,https://www.amazon.in/s?k=windcheater
P171,t-shirt,partywear,red,1853,30,1297,4.1,165,FabIndia,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,https://www.amazon.in/s?k=t-shirt
P172,polo t-shirt,smart-casual,white,1679,20,1343,4.8,243,FabIndia,https://via.placeholder.com/150,https://www.amazon.in/s?k=polo+t-shirt
P173,sports t-shirt,loungewear,blue,3330,30,2331,4.5,121,Raymond,https://via.placeholder.com/150,https://www.amazon.in/s?k=sports+t-shirt
P174,formal trousers,formal,beige,708,30,495,4.0,96,Adidas,https://via.placeholder.com/150,https://www.amazon.in/s?k=formal+trousers
P175,coat,formal,blue,1251,30,875,3.9,119,Zara,https://via.placeholder.com/150,https://www.amazon.in/s?k=coat
P176,chinos,streetwear,red,4732,25,3549,4.2,89,Allen Solly,https://via.placeholder.com/150,https://www.amazon.in/s?k=chinos
P177,chinos,loungewear,black,1052,20,841,3.9,378,Van Heusen,https://via.placeholder.com/150,https://www.amazon.in/s?k=chinos
P178,hooded jacket,winterwear,white,4429,25,3321,4.3,446,H&M,https://via.placeholder.com/150,https://www.amazon.in/s?k=hooded+jacket
P179,sports t-shirt,formal,pink,1333,30,933,3.9,69,FabIndia,https://via.placeholder.com/150,https://www.amazon.in/s?k=sports+t-shirt
P180,tank top,smart-casual,navy,4096,30,2867,4.8,178,H&M,https://via.placeholder.com/150,https://www.amazon.in/s?k=tank+top
P181,shirt,sportswear,white,3871,10,3483,4.1,88,Raymond,https://images.unsplash.com/photo-1603252109303-2751441dd157,https://www.amazon.in/s?k=shirt
P182,sweater,formal,blue,4650,10,4185,4.9,314,Puma,https://via.placeholder.com/150,https://www.amazon.in/s?k=sweater
P183,saree,partywear,black,2372,15,2016,4.9,369,Levis,https://via.placeholder.com/150,https://www.amazon.in/s?k=saree
P184,coat,loungewear,blue,4444,10,3999,4.2,84,Van Heusen,https://via.placeholder.com/150,https://www.amazon.in/s?k=coat
P185,sweater,streetwear,beige,1591,10,1431,4.4,302,Adidas,https://via.placeholder.com/150,https://www.amazon.in/s?k=sweater
P186,coat,loungewear,navy,2894,20,2315,4.6,456,Raymond,https://via.placeholder.com/150,https://www.amazon.in/s?k=coat
P187,skirt,streetwear,black,2851,10,2565,3.9,308,Zara,https://via.placeholder.com/150,https://www.amazon.in/s?k=skirt
P188,tracksuit,winterwear,pink,4223,20,3378,4.3,279,Nike,https://via.placeholder.com/150,https://www.amazon.in/s?k=tracksuit
P189,kurti,smart-casual,brown,1173,25,879,4.2,478,Allen Solly,https://via.placeholder.com/150,https://www.amazon.in/s?k=kurti
P190,polo t-shirt,business,pink,3683,10,3314,3.9,253,Levis,https://via.placeholder.com/150,https://www.amazon.in/s?k=polo+t-shirt
P191,suit set,business,grey,3817,25,2862,4.6,245,H&M,https://via.placeholder.com/150,https://www.amazon.in/s?k=suit+set
P192,tank top,streetwear,green,4191,10,3771,4.6,350,Adidas,https://via.placeholder.com/150,https://www.amazon.in/s?k=tank+top
P193,saree,casual,navy,2354,10,2118,4.6,370,Zara,https://via.placeholder.com/150,https://www.amazon.in/s?k=saree
P194,sweater,sportswear,black,3901,15,3315,4.5,137,FabIndia,https://via.placeholder.com/150,https://www.amazon.in/s?k=sweater
P195,athleisure set,smart-casual,pink,1070,15,909,3.9,431,Forever21,https://via.placeholder.com/150,https://www.amazon.in/s?k=athleisure+set
P196,denim jacket,smart-casual,beige,1552,15,1319,3.9,426,Raymond,https://via.placeholder.com/150,https://www.amazon.in/s?k=denim+jacket
P197,blazer dress,winterwear,beige,2855,10,2569,4.5,488,Allen Solly,https://via.placeholder.com/150,https://www.amazon.in/s?k=blazer+dress
P198,denim jacket,casual,navy,2049,20,1639,4.2,118,Raymond,https://via.placeholder.com/150,https://www.amazon.in/s?k=denim+jacket
P199,hooded jacket,formal,red,1720,15,1462,4.3,244,Nike,https://via.placeholder.com/150,https://www.amazon.in/s?k=hooded+jacket
P200,suit set,formal,navy,1478,20,1182,4.9,394,Levis,https://via.placeholder.com/150,https://www.amazon.in/s?k=suit+set
